I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;End_Account_Balance;End_Account_Equity;Total P&L;NoTrades;NoWinTrades;WinRatio;MaxDrawdown;TotalTradeProfit;P&L_DD_Ratio;P&L_NoTrades_Ratio
20200505;4;20.0000;ATRMultiplier;-90;0.5000;0.000300;5.000000;0.500000;60;0.001000;8;19;1;9538.13000000;9538.13000000;0.00000000;106;46;0.43;491.2100;-461.8700;-0.9403;-4.357264
20200505;5;20.0000;ATRMultiplier;-90;0.5000;0.000300;5.000000;0.500000;60;0.001000;8;19;1;9650.47000000;9650.47000000;0.00000000;118;55;0.47;378.5700;-349.5300;-0.9233;-2.962119
20200505;6;20.0000;ATRMultiplier;-90;0.5000;0.000300;5.000000;0.500000;60;0.001000;8;19;1;9447.97000000;9447.97000000;0.00000000;157;71;0.45;589.3700;-552.0300;-0.9366;-3.516115
20200505;4;20.0000;ATRMultiplier;-80;0.5000;0.000300;5.000000;0.500000;60;0.001000;8;19;1;9387.80000000;9387.80000000;0.00000000;132;57;0.43;621.5400;-612.2000;-0.9850;-4.637879
20200505;5;20.0000;ATRMultiplier;-80;0.5000;0.000300;5.000000;0.500000;60;0.001000;8;19;1;9135.87000000;9135.87000000;0.00000000;159;64;0.40;864.1300;-864.1300;-1.0000;-5.434780
20200505;6;20.0000;ATRMultiplier;-80;0.5000;0.000300;5.000000;0.500000;60;0.001000;8;19;1;8917.26154000;8917.26154000;0.00000000;208;85;0.41;1082.7385;-1082.7385;-1.0000;-5.205473
20200505;4;20.0000;ATRMultiplier;-70;0.5000;0.000300;5.000000;0.500000;60;0.001000;8;19;1;9015.13000000;9015.13000000;0.00000000;166;65;0.39;996.6000;-984.8700;-0.9882;-5.932952
20200505;5;20.0000;ATRMultiplier;-70;0.5000;0.000300;5.000000;0.500000;60;0.001000;8;19;1;8757.19000000;8757.19000000;0.00000000;198;75;0.38;1257.5100;-1242.8100;-0.9883;-6.276818
20200505;6;20.0000;ATRMultiplier;-70;0.5000;0.000300;5.000000;0.500000;60;0.001000;8;19;1;8442.71000000;8442.71000000;0.00000000;263;102;0.39;1572.2400;-1557.2900;-0.9905;-5.921255
20200505;4;20.0000;ATRMultiplier;-60;0.5000;0.000300;5.000000;0.500000;60;0.001000;8;19;1;8730.07000000;8730.07000000;0.00000000;201;76;0.38;1269.9300;-1269.9300;-1.0000;-6.318060
