I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;End_Account_Balance;End_Account_Equity;Total P&L;NoTrades;NoWinTrades;WinRatio;MaxDrawdown;TotalTradeProfit;P&L_DD_Ratio;P&L_NoTrades_Ratio
20200505;4;20.0000;ATRMultiplier;-90;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10236.85000000;10236.85000000;0.00000000;67;28;0.42;117.3700;236.8500;2.0180;3.535075
20200505;5;20.0000;ATRMultiplier;-90;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10247.70562000;10247.70562000;0.00000000;87;35;0.40;259.3800;247.7056;0.9550;2.847191
20200505;4;20.0000;ATRMultiplier;-80;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10391.80000000;10391.80000000;0.00000000;77;34;0.44;97.2200;391.8000;4.0300;5.088312
20200505;5;20.0000;ATRMultiplier;-80;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10349.60562000;10349.60562000;0.00000000;99;41;0.41;281.6500;349.6056;1.2413;3.531370
20200505;4;20.0000;ATRMultiplier;-70;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10251.90144000;10251.90144000;0.00000000;90;36;0.40;118.1600;251.9014;2.1319;2.798905
20200505;5;20.0000;ATRMultiplier;-70;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10042.46502000;10042.46502000;0.00000000;124;44;0.35;238.6000;42.4650;0.1780;0.342460
20200505;4;20.0000;ATRMultiplier;-60;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10174.25009000;10174.25009000;0.00000000;115;45;0.39;158.3700;174.2501;1.1003;1.515218
20200505;5;20.0000;ATRMultiplier;-60;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10175.57622000;10175.57622000;0.00000000;156;59;0.38;310.3394;175.5762;0.5658;1.125489
20200505;4;20.0000;ATRMultiplier;-50;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10407.98825000;10407.98825000;0.00000000;139;58;0.42;157.8500;407.9882;2.5847;2.935167
20200505;5;20.0000;ATRMultiplier;-50;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10081.63553000;10081.63553000;0.00000000;184;67;0.36;409.1157;81.6355;0.1995;0.443671
20200505;4;20.0000;ATRMultiplier;-40;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10255.83153000;10255.83153000;0.00000000;187;73;0.39;285.5076;255.8315;0.8961;1.368083
20200505;5;20.0000;ATRMultiplier;-40;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10343.90767000;10343.90767000;0.00000000;241;92;0.38;444.5457;343.9077;0.7736;1.427003
20200505;4;20.0000;ATRMultiplier;-30;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9783.25849000;9783.25849000;0.00000000;234;80;0.34;366.8304;-216.7415;-0.5908;-0.926246
20200505;5;20.0000;ATRMultiplier;-30;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10020.27457000;10020.27457000;0.00000000;297;106;0.36;514.1452;20.2746;0.0394;0.068265
20200505;4;20.0000;ATRMultiplier;-20;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9229.93799000;9229.93799000;0.00000000;295;95;0.32;880.9176;-770.0620;-0.8742;-2.610380
20200505;5;20.0000;ATRMultiplier;-20;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9109.67199000;9109.67199000;0.00000000;371;117;0.32;1082.4280;-890.3280;-0.8225;-2.399806
20200505;4;20.0000;ATRMultiplier;-10;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;8585.14944000;8585.14944000;0.00000000;329;94;0.29;1618.6762;-1414.8506;-0.8741;-4.300458
20200505;5;20.0000;ATRMultiplier;-10;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;8861.45674000;8861.45674000;0.00000000;417;129;0.31;1402.6533;-1138.5433;-0.8117;-2.730320
