I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;End_Account_Balance;End_Account_Equity;Total P&L;NoTrades;NoWinTrades;WinRatio;MaxDrawdown;TotalTradeProfit;P&L_DD_Ratio;P&L_NoTrades_Ratio
20200505;4;20.0000;ATRMultiplier;-90;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10273.78000000;10273.78000000;0.00000000;61;26;0.43;159.9600;273.7800;1.7116;4.488197
20200505;5;20.0000;ATRMultiplier;-90;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10464.45562000;10464.45562000;0.00000000;71;33;0.46;144.6900;464.4556;3.2100;6.541628
20200505;4;20.0000;ATRMultiplier;-80;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10332.57000000;10332.57000000;0.00000000;72;31;0.43;124.9000;332.5700;2.6627;4.619028
20200505;5;20.0000;ATRMultiplier;-80;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10759.51562000;10759.51562000;0.00000000;81;42;0.52;82.1500;759.5156;9.2455;9.376736
20200505;4;20.0000;ATRMultiplier;-70;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10405.27144000;10405.27144000;0.00000000;85;37;0.44;104.3200;405.2714;3.8849;4.767899
20200505;5;20.0000;ATRMultiplier;-70;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10507.40502000;10507.40502000;0.00000000;106;46;0.43;220.6900;507.4050;2.2992;4.786840
20200505;4;20.0000;ATRMultiplier;-60;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10292.51790000;10292.51790000;0.00000000;112;45;0.40;190.3686;292.5179;1.5366;2.611767
20200505;5;20.0000;ATRMultiplier;-60;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10695.29562000;10695.29562000;0.00000000;138;62;0.45;303.7700;695.2956;2.2889;5.038374
20200505;4;20.0000;ATRMultiplier;-50;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10481.09044000;10481.09044000;0.00000000;136;57;0.42;157.8500;481.0904;3.0478;3.537430
20200505;5;20.0000;ATRMultiplier;-50;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10528.28124000;10528.28124000;0.00000000;167;69;0.41;287.8664;528.2812;1.8352;3.163361
20200505;4;20.0000;ATRMultiplier;-40;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10611.21076000;10611.21076000;0.00000000;178;75;0.42;203.2786;611.2108;3.0068;3.433768
20200505;5;20.0000;ATRMultiplier;-40;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;11034.09663000;11034.09663000;0.00000000;209;93;0.44;224.9900;1034.0966;4.5962;4.947831
20200505;4;20.0000;ATRMultiplier;-30;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10207.14738000;10207.14738000;0.00000000;218;81;0.37;475.2633;207.1474;0.4359;0.950217
20200505;5;20.0000;ATRMultiplier;-30;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10758.49305000;10758.49305000;0.00000000;266;108;0.41;248.8300;758.4930;3.0482;2.851478
20200505;4;20.0000;ATRMultiplier;-20;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9794.69304000;9794.69304000;0.00000000;268;94;0.35;584.0388;-205.3070;-0.3515;-0.766071
20200505;5;20.0000;ATRMultiplier;-20;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10139.19837000;10139.19837000;0.00000000;326;119;0.37;660.5804;139.1984;0.2107;0.426989
20200505;4;20.0000;ATRMultiplier;-10;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9405.83025000;9405.83025000;0.00000000;285;92;0.32;901.6120;-594.1697;-0.6590;-2.084806
20200505;5;20.0000;ATRMultiplier;-10;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9664.50276000;9664.50276000;0.00000000;360;123;0.34;735.0224;-335.4972;-0.4564;-0.931937
20200505;4;20.0000;ATRMultiplier;0;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9096.71782000;9096.71782000;0.00000000;288;87;0.30;1085.3633;-903.2822;-0.8322;-3.136396
20200505;5;20.0000;ATRMultiplier;0;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;8704.20251000;8704.20251000;0.00000000;351;102;0.29;1424.8080;-1295.7975;-0.9095;-3.691731
20200505;4;20.0000;ATRMultiplier;10;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9068.79987000;9068.79987000;0.00000000;229;65;0.28;997.7912;-931.2001;-0.9333;-4.066376
20200505;5;20.0000;ATRMultiplier;10;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;8666.20961000;8666.20961000;0.00000000;289;79;0.27;1390.9704;-1333.7904;-0.9589;-4.615192
20200505;4;20.0000;ATRMultiplier;20;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9064.91420000;9064.91420000;0.00000000;178;46;0.26;1039.9153;-935.0858;-0.8992;-5.253291
20200505;5;20.0000;ATRMultiplier;20;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;8973.71120000;8973.71120000;0.00000000;227;62;0.27;1085.2196;-1026.2888;-0.9457;-4.521096
20200505;4;20.0000;ATRMultiplier;-90;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10232.52084000;10232.52084000;0.00000000;59;26;0.44;153.9162;232.5208;1.5107;3.941031
20200505;5;20.0000;ATRMultiplier;-90;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10413.42860000;10413.42860000;0.00000000;70;34;0.49;157.3568;413.4286;2.6273;5.906123
20200505;4;20.0000;ATRMultiplier;-80;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10188.46646000;10188.46646000;0.00000000;70;29;0.41;181.2749;188.4665;1.0397;2.692378
20200505;5;20.0000;ATRMultiplier;-80;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10530.99089000;10530.99089000;0.00000000;80;40;0.50;165.3291;530.9909;3.2117;6.637386
20200505;4;20.0000;ATRMultiplier;-70;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10389.21178000;10389.21178000;0.00000000;83;38;0.46;140.7733;389.2118;2.7648;4.689299
20200505;5;20.0000;ATRMultiplier;-70;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10426.82677000;10426.82677000;0.00000000;104;46;0.44;294.5776;426.8268;1.4489;4.104104
20200505;4;20.0000;ATRMultiplier;-60;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10230.10710000;10230.10710000;0.00000000;109;45;0.41;157.7826;230.1071;1.4584;2.111074
20200505;5;20.0000;ATRMultiplier;-60;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10670.94571000;10670.94571000;0.00000000;136;64;0.47;297.2457;670.9457;2.2572;4.933424
20200505;4;20.0000;ATRMultiplier;-50;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10214.37362000;10214.37362000;0.00000000;134;54;0.40;181.0678;214.3736;1.1839;1.599803
20200505;5;20.0000;ATRMultiplier;-50;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10638.39017000;10638.39017000;0.00000000;165;74;0.45;262.3595;638.3902;2.4333;3.869031
20200505;4;20.0000;ATRMultiplier;-40;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10185.07125000;10185.07125000;0.00000000;175;69;0.39;245.5549;185.0713;0.7537;1.057550
20200505;5;20.0000;ATRMultiplier;-40;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10452.57244000;10452.57244000;0.00000000;202;84;0.42;360.9106;452.5724;1.2540;2.240458
20200505;4;20.0000;ATRMultiplier;-30;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10228.96751000;10228.96751000;0.00000000;212;83;0.39;298.8371;228.9675;0.7662;1.080035
20200505;5;20.0000;ATRMultiplier;-30;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10470.77127000;10470.77127000;0.00000000;253;104;0.41;346.3175;470.7713;1.3594;1.860756
20200505;4;20.0000;ATRMultiplier;-20;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9999.53777000;9999.53777000;0.00000000;260;100;0.38;377.4346;-0.4622;-0.0012;-0.001778
20200505;5;20.0000;ATRMultiplier;-20;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10449.13894000;10449.13894000;0.00000000;305;124;0.41;393.7868;449.1389;1.1406;1.472587
20200505;4;20.0000;ATRMultiplier;-10;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9484.59225000;9484.59225000;0.00000000;278;96;0.35;681.0762;-515.4077;-0.7568;-1.853985
20200505;5;20.0000;ATRMultiplier;-10;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9800.63271000;9800.63271000;0.00000000;335;122;0.36;575.6729;-199.3673;-0.3463;-0.595126
20200505;4;20.0000;ATRMultiplier;0;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9237.81933000;9237.81933000;0.00000000;270;87;0.32;877.1925;-762.1807;-0.8689;-2.822891
20200505;5;20.0000;ATRMultiplier;0;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9388.25265000;9388.25265000;0.00000000;326;110;0.34;849.5080;-611.7474;-0.7201;-1.876526
20200505;4;20.0000;ATRMultiplier;10;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9297.70586000;9297.70586000;0.00000000;216;68;0.31;788.2833;-702.2941;-0.8909;-3.251362
20200505;5;20.0000;ATRMultiplier;10;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9152.66914000;9152.66914000;0.00000000;269;85;0.32;994.0638;-847.3309;-0.8524;-3.149929
20200505;4;20.0000;ATRMultiplier;20;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9210.96324000;9210.96324000;0.00000000;169;48;0.28;856.5063;-789.0368;-0.9212;-4.668857
20200505;5;20.0000;ATRMultiplier;20;1.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9360.58326000;9360.58326000;0.00000000;210;66;0.31;677.2999;-639.4167;-0.9441;-3.044842
20200505;4;20.0000;ATRMultiplier;-90;1.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10178.74706000;10178.74706000;0.00000000;59;26;0.44;194.4681;178.7471;0.9192;3.029611
20200505;5;20.0000;ATRMultiplier;-90;1.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10468.79406000;10468.79406000;0.00000000;70;36;0.51;188.3276;468.7941;2.4892;6.697058
20200505;4;20.0000;ATRMultiplier;-80;1.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10081.44671000;10081.44671000;0.00000000;70;28;0.40;235.9066;81.4467;0.3452;1.163524
20200505;5;20.0000;ATRMultiplier;-80;1.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10466.30459000;10466.30459000;0.00000000;80;40;0.50;161.1499;466.3046;2.8936;5.828807
20200505;4;20.0000;ATRMultiplier;-70;1.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10089.78548000;10089.78548000;0.00000000;83;34;0.41;213.8000;89.7855;0.4200;1.081753
20200505;5;20.0000;ATRMultiplier;-70;1.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10231.02922000;10231.02922000;0.00000000;104;44;0.42;361.5235;231.0292;0.6390;2.221435
20200505;4;20.0000;ATRMultiplier;-60;1.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10100.22224000;10100.22224000;0.00000000;109;45;0.41;241.0365;100.2222;0.4158;0.919470
20200505;5;20.0000;ATRMultiplier;-60;1.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10299.39915000;10299.39915000;0.00000000;133;58;0.44;300.7137;299.3991;0.9956;2.251121
20200505;4;20.0000;ATRMultiplier;-50;1.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10135.40265000;10135.40265000;0.00000000;131;54;0.41;192.2584;135.4026;0.7043;1.033608
20200505;5;20.0000;ATRMultiplier;-50;1.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10316.76652000;10316.76652000;0.00000000;158;68;0.43;324.4963;316.7665;0.9762;2.004851
20200505;4;20.0000;ATRMultiplier;-40;1.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10282.08724000;10282.08724000;0.00000000;167;70;0.42;263.6886;282.0872;1.0698;1.689145
20200505;5;20.0000;ATRMultiplier;-40;1.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10369.79482000;10369.79482000;0.00000000;192;81;0.42;347.6038;369.7948;1.0638;1.926015
