I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;End_Account_Balance;End_Account_Equity;Total P&L;NoTrades;NoWinTrades;WinRatio;MaxDrawdown;TotalTradeProfit;P&L_DD_Ratio;P&L_NoTrades_Ratio
20200505;4;20.0000;ATRMultiplier;-90;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10079.03000000;10079.03000000;0.00000000;25;10;0.40;140.6400;79.0300;0.5619;3.161200
20200505;5;20.0000;ATRMultiplier;-90;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10192.33000000;10192.33000000;0.00000000;22;11;0.50;137.5700;192.3300;1.3981;8.742273
20200505;4;20.0000;ATRMultiplier;-80;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10071.84000000;10071.84000000;0.00000000;31;12;0.39;105.5800;71.8400;0.6804;2.317419
20200505;5;20.0000;ATRMultiplier;-80;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10337.31000000;10337.31000000;0.00000000;26;15;0.58;82.1500;337.3100;4.1060;12.973462
20200505;4;20.0000;ATRMultiplier;-70;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10155.63000000;10155.63000000;0.00000000;35;15;0.43;94.9800;155.6300;1.6386;4.446571
20200505;5;20.0000;ATRMultiplier;-70;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10274.64000000;10274.64000000;0.00000000;35;17;0.49;116.8700;274.6400;2.3500;7.846857
20200505;4;20.0000;ATRMultiplier;-60;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10110.59144000;10110.59144000;0.00000000;46;18;0.39;99.6186;110.5914;1.1101;2.404162
20200505;5;20.0000;ATRMultiplier;-60;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10305.86000000;10305.86000000;0.00000000;48;22;0.46;175.7600;305.8600;1.7402;6.372083
20200505;4;20.0000;ATRMultiplier;-50;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10171.54144000;10171.54144000;0.00000000;57;23;0.40;122.8986;171.5414;1.3958;3.009499
20200505;5;20.0000;ATRMultiplier;-50;0.5000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10172.54000000;10172.54000000;0.00000000;60;24;0.40;199.3800;172.5400;0.8654;2.875667
