I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;End_Account_Balance;End_Account_Equity;Total P&L;NoTrades;NoWinTrades;WinRatio;MaxDrawdown;TotalTradeProfit;P&L_DD_Ratio;P&L_NoTrades_Ratio
20200505;4;20.0000;LowOrHighOfLast2Candles;-30;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10201.93847000;10201.93847000;0.00000000;126;53;0.42;182.5531;201.9385;1.1062;1.602686
20200505;5;20.0000;LowOrHighOfLast2Candles;-30;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9979.98153000;9979.98153000;15.39000000;149;58;0.39;329.2097;-20.0185;-0.0608;-0.134352
20200505;4;20.0000;LowOrHighOfLast2Candles;-20;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9935.83958000;9935.83958000;0.00000000;154;59;0.38;321.5938;-64.1604;-0.1995;-0.416626
20200505;5;20.0000;LowOrHighOfLast2Candles;-20;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9883.79192000;9883.79192000;0.00000000;186;69;0.37;473.6639;-116.2081;-0.2453;-0.624775
20200505;4;20.0000;LowOrHighOfLast2Candles;-10;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9631.67723000;9631.67723000;0.00000000;163;55;0.34;506.0852;-368.3228;-0.7278;-2.259649
20200505;5;20.0000;LowOrHighOfLast2Candles;-10;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9479.84664000;9479.84664000;0.00000000;206;67;0.33;678.0864;-520.1534;-0.7671;-2.525016
20200505;4;20.0000;LowOrHighOfLast2Candles;0;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9320.00041000;9320.00041000;0.00000000;164;48;0.29;728.5344;-679.9996;-0.9334;-4.146339
20200505;5;20.0000;LowOrHighOfLast2Candles;0;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9437.40580000;9437.40580000;0.00000000;197;64;0.32;742.5271;-562.5942;-0.7577;-2.855808
20200505;4;20.0000;LowOrHighOfLast2Candles;10;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9317.41738000;9317.41738000;0.00000000;131;36;0.27;695.7226;-682.5826;-0.9811;-5.210554
20200505;5;20.0000;LowOrHighOfLast2Candles;10;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9391.70398000;9391.70398000;0.00000000;170;53;0.31;679.6960;-608.2960;-0.8950;-3.578212
20200505;4;20.0000;LowOrHighOfLast2Candles;20;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9496.63064000;9496.63064000;0.00000000;103;29;0.28;576.8094;-503.3694;-0.8727;-4.887081
20200505;5;20.0000;LowOrHighOfLast2Candles;20;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9497.66496000;9497.66496000;0.00000000;131;40;0.31;536.4150;-502.3350;-0.9365;-3.834619
20200505;4;20.0000;LowOrHighOfLast2Candles;30;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9381.36982000;9381.36982000;0.00000000;72;15;0.21;637.0130;-618.6302;-0.9711;-8.592086
20200505;5;20.0000;LowOrHighOfLast2Candles;30;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9249.73879000;9249.73879000;0.00000000;99;23;0.23;750.2612;-750.2612;-1.0000;-7.578396
20200505;4;20.0000;LowOrHighOfLast2Candles;40;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9317.62338000;9317.62338000;0.00000000;57;8;0.14;696.7366;-682.3766;-0.9794;-11.971520
20200505;5;20.0000;LowOrHighOfLast2Candles;40;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9346.84747000;9346.84747000;0.00000000;77;16;0.21;700.3225;-653.1525;-0.9326;-8.482500
20200505;4;20.0000;LowOrHighOfLast2Candles;50;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9413.15930000;9413.15930000;0.00000000;41;4;0.10;602.6807;-586.8407;-0.9737;-14.313188
20200505;5;20.0000;LowOrHighOfLast2Candles;50;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9386.45930000;9386.45930000;0.00000000;51;7;0.14;663.8307;-613.5407;-0.9242;-12.030210
20200505;4;20.0000;LowOrHighOfLast2Candles;60;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9646.34746000;9646.34746000;0.00000000;32;5;0.16;370.8925;-353.6525;-0.9535;-11.051642
20200505;5;20.0000;LowOrHighOfLast2Candles;60;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9613.41746000;9613.41746000;0.00000000;37;6;0.16;439.1325;-386.5825;-0.8803;-10.448177
20200505;4;20.0000;LowOrHighOfLast2Candles;70;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9751.02000000;9751.02000000;0.00000000;24;4;0.17;248.9800;-248.9800;-1.0000;-10.374167
20200505;5;20.0000;LowOrHighOfLast2Candles;70;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9736.37000000;9736.37000000;0.00000000;25;4;0.16;263.6300;-263.6300;-1.0000;-10.545200
20200505;4;20.0000;LowOrHighOfLast2Candles;80;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9722.89000000;9722.89000000;0.00000000;17;1;0.06;277.1100;-277.1100;-1.0000;-16.300588
20200505;5;20.0000;LowOrHighOfLast2Candles;80;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9760.98000000;9760.98000000;0.00000000;21;3;0.14;240.4500;-239.0200;-0.9941;-11.381905
20200505;4;20.0000;LowOrHighOfLast2Candles;90;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9764.26000000;9764.26000000;0.00000000;15;1;0.07;235.7400;-235.7400;-1.0000;-15.716000
20200505;5;20.0000;LowOrHighOfLast2Candles;90;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9783.94000000;9783.94000000;0.00000000;14;1;0.07;216.0600;-216.0600;-1.0000;-15.432857
20200505;4;20.0000;LowOrHighOfLast2Candles;-30;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;10098.07746000;10098.07746000;0.00000000;117;42;0.36;227.2948;98.0775;0.4315;0.838269
20200505;5;20.0000;LowOrHighOfLast2Candles;-30;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9966.41839000;9966.41839000;15.39000000;142;50;0.35;446.3394;-33.5816;-0.0752;-0.236490
20200505;4;20.0000;LowOrHighOfLast2Candles;-20;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;10058.48547000;10058.48547000;0.00000000;148;53;0.36;308.6102;58.4855;0.1895;0.395172
20200505;5;20.0000;LowOrHighOfLast2Candles;-20;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9819.53902000;9819.53902000;16.74000000;180;58;0.32;629.3174;-180.4610;-0.2868;-1.002561
20200505;4;20.0000;LowOrHighOfLast2Candles;-10;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9856.75827000;9856.75827000;0.00000000;160;52;0.33;391.5672;-143.2417;-0.3658;-0.895261
20200505;5;20.0000;LowOrHighOfLast2Candles;-10;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9598.01570000;9598.01570000;20.00000000;200;59;0.30;648.0373;-401.9843;-0.6203;-2.009921
20200505;4;20.0000;LowOrHighOfLast2Candles;0;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9594.93867000;9594.93867000;0.00000000;162;47;0.29;505.2186;-405.0613;-0.8018;-2.500379
20200505;5;20.0000;LowOrHighOfLast2Candles;0;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9677.90546000;9677.90546000;0.00000000;190;58;0.31;574.1329;-322.0945;-0.5610;-1.695234
20200505;4;20.0000;LowOrHighOfLast2Candles;10;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9489.26903000;9489.26903000;0.00000000;128;33;0.26;572.0482;-510.7310;-0.8928;-3.990086
20200505;5;20.0000;LowOrHighOfLast2Candles;10;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9461.85073000;9461.85073000;0.00000000;161;44;0.27;686.9447;-538.1493;-0.7834;-3.342542
20200505;4;20.0000;LowOrHighOfLast2Candles;20;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9404.24975000;9404.24975000;0.00000000;101;23;0.23;654.8358;-595.7503;-0.9098;-5.898517
20200505;5;20.0000;LowOrHighOfLast2Candles;20;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9530.98104000;9530.98104000;0.00000000;123;33;0.27;556.6269;-469.0190;-0.8426;-3.813162
20200505;4;20.0000;LowOrHighOfLast2Candles;30;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9354.02220000;9354.02220000;0.00000000;72;12;0.17;702.5703;-645.9778;-0.9194;-8.971914
20200505;5;20.0000;LowOrHighOfLast2Candles;30;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9330.91244000;9330.91244000;0.00000000;97;21;0.22;672.6776;-669.0876;-0.9947;-6.897810
20200505;4;20.0000;LowOrHighOfLast2Candles;40;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9394.28278000;9394.28278000;0.00000000;57;8;0.14;629.7372;-605.7172;-0.9619;-10.626618
20200505;5;20.0000;LowOrHighOfLast2Candles;40;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9428.03687000;9428.03687000;0.00000000;77;15;0.19;638.4831;-571.9631;-0.8958;-7.428093
20200505;4;20.0000;LowOrHighOfLast2Candles;50;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9452.49930000;9452.49930000;0.00000000;41;4;0.10;572.9407;-547.5007;-0.9556;-13.353676
20200505;5;20.0000;LowOrHighOfLast2Candles;50;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9454.52930000;9454.52930000;0.00000000;51;7;0.14;615.1607;-545.4707;-0.8867;-10.695504
20200505;4;20.0000;LowOrHighOfLast2Candles;60;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9584.86318000;9584.86318000;0.00000000;31;3;0.10;442.1768;-415.1368;-0.9388;-13.391510
20200505;5;20.0000;LowOrHighOfLast2Candles;60;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9604.15746000;9604.15746000;0.00000000;37;5;0.14;468.0825;-395.8425;-0.8457;-10.698447
20200505;4;20.0000;LowOrHighOfLast2Candles;70;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9656.66000000;9656.66000000;0.00000000;24;2;0.08;343.3400;-343.3400;-1.0000;-14.305833
20200505;5;20.0000;LowOrHighOfLast2Candles;70;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9642.01000000;9642.01000000;0.00000000;25;2;0.08;357.9900;-357.9900;-1.0000;-14.319600
20200505;4;20.0000;LowOrHighOfLast2Candles;80;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9732.69000000;9732.69000000;0.00000000;17;1;0.06;267.3100;-267.3100;-1.0000;-15.724118
20200505;5;20.0000;LowOrHighOfLast2Candles;80;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9723.89000000;9723.89000000;0.00000000;21;2;0.10;287.4100;-276.1100;-0.9607;-13.148095
20200505;4;20.0000;LowOrHighOfLast2Candles;90;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9774.38000000;9774.38000000;0.00000000;15;1;0.07;225.6200;-225.6200;-1.0000;-15.041333
20200505;5;20.0000;LowOrHighOfLast2Candles;90;2.0000;0.000300;5.000000;2.000000;60;0.000000;8;19;1;9794.06000000;9794.06000000;0.00000000;14;1;0.07;205.9400;-205.9400;-1.0000;-14.710000
20200505;4;20.0000;LowOrHighOfLast2Candles;-30;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9976.26092000;9976.26092000;0.00000000;117;37;0.32;385.0291;-23.7391;-0.0617;-0.202898
20200505;5;20.0000;LowOrHighOfLast2Candles;-30;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9719.76822000;9719.76822000;15.39000000;138;41;0.30;461.5432;-280.2318;-0.6072;-2.030665
20200505;4;20.0000;LowOrHighOfLast2Candles;-20;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;10118.02348000;10118.02348000;0.00000000;141;47;0.33;302.0210;118.0235;0.3908;0.837046
20200505;5;20.0000;LowOrHighOfLast2Candles;-20;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9627.08989000;9627.08989000;16.74000000;173;49;0.28;733.3788;-372.9101;-0.5085;-2.155550
20200505;4;20.0000;LowOrHighOfLast2Candles;-10;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9928.38013000;9928.38013000;0.00000000;149;46;0.31;458.6804;-71.6199;-0.1561;-0.480670
20200505;5;20.0000;LowOrHighOfLast2Candles;-10;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9673.37117000;9673.37117000;20.00000000;194;55;0.28;599.9774;-326.6288;-0.5444;-1.683654
20200505;4;20.0000;LowOrHighOfLast2Candles;0;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9662.31547000;9662.31547000;0.00000000;157;42;0.27;504.0487;-337.6845;-0.6699;-2.150857
20200505;5;20.0000;LowOrHighOfLast2Candles;0;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9433.28395000;9433.28395000;23.65000000;186;48;0.26;844.6045;-566.7161;-0.6710;-3.046860
20200505;4;20.0000;LowOrHighOfLast2Candles;10;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9643.13007000;9643.13007000;0.00000000;126;31;0.25;432.8972;-356.8699;-0.8244;-2.832301
20200505;5;20.0000;LowOrHighOfLast2Candles;10;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9485.02482000;9485.02482000;27.60000000;159;39;0.25;697.6106;-514.9752;-0.7382;-3.238838
20200505;4;20.0000;LowOrHighOfLast2Candles;20;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9579.34547000;9579.34547000;0.00000000;101;23;0.23;531.4079;-420.6545;-0.7916;-4.164896
20200505;5;20.0000;LowOrHighOfLast2Candles;20;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9641.19579000;9641.19579000;0.00000000;120;30;0.25;485.4322;-358.8042;-0.7391;-2.990035
20200505;4;20.0000;LowOrHighOfLast2Candles;30;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9390.48593000;9390.48593000;0.00000000;70;11;0.16;704.3846;-609.5141;-0.8653;-8.707344
20200505;5;20.0000;LowOrHighOfLast2Candles;30;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9381.66014000;9381.66014000;0.00000000;93;19;0.20;645.5209;-618.3399;-0.9579;-6.648816
20200505;4;20.0000;LowOrHighOfLast2Candles;40;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9177.22247000;9177.22247000;0.00000000;56;4;0.07;856.0907;-822.7775;-0.9611;-14.692456
20200505;5;20.0000;LowOrHighOfLast2Candles;40;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9329.70084000;9329.70084000;0.00000000;75;12;0.16;755.8023;-670.2992;-0.8869;-8.937322
20200505;4;20.0000;LowOrHighOfLast2Candles;50;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9491.89930000;9491.89930000;0.00000000;41;4;0.10;543.3807;-508.1007;-0.9351;-12.392700
20200505;5;20.0000;LowOrHighOfLast2Candles;50;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9450.47930000;9450.47930000;0.00000000;51;6;0.12;639.0507;-549.5207;-0.8599;-10.774916
20200505;4;20.0000;LowOrHighOfLast2Candles;60;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9614.00318000;9614.00318000;0.00000000;31;3;0.10;422.8368;-385.9968;-0.9129;-12.451510
20200505;5;20.0000;LowOrHighOfLast2Candles;60;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9653.57746000;9653.57746000;0.00000000;37;5;0.14;438.3525;-346.4225;-0.7903;-9.362771
20200505;4;20.0000;LowOrHighOfLast2Candles;70;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9676.02000000;9676.02000000;0.00000000;24;2;0.08;323.9800;-323.9800;-1.0000;-13.499167
20200505;5;20.0000;LowOrHighOfLast2Candles;70;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9661.37000000;9661.37000000;0.00000000;25;2;0.08;338.6300;-338.6300;-1.0000;-13.545200
20200505;4;20.0000;LowOrHighOfLast2Candles;80;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9742.49000000;9742.49000000;0.00000000;17;1;0.06;257.5100;-257.5100;-1.0000;-15.147647
20200505;5;20.0000;LowOrHighOfLast2Candles;80;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9743.56000000;9743.56000000;0.00000000;21;2;0.10;277.6100;-256.4400;-0.9237;-12.211429
20200505;4;20.0000;LowOrHighOfLast2Candles;90;2.0000;0.000300;5.000000;2.500000;60;0.000000;8;19;1;9784.04000000;9784.04000000;0.00000000;15;1;0.07;215.9600;-215.9600;-1.0000;-14.397333
