I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;End_Account_Balance;End_Account_Equity;Total P&L;NoTrades;NoWinTrades;WinRatio;MaxDrawdown;TotalTradeProfit;P&L_DD_Ratio;P&L_NoTrades_Ratio
20200505;4;20.0000;LowOrHighOfLast2Candles;-30;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;10144.51758000;10144.51758000;0.00000000;200;80;0.40;297.7912;144.5176;0.4853;0.722588
20200505;5;20.0000;LowOrHighOfLast2Candles;-30;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9319.89911000;9319.89911000;0.00000000;251;86;0.34;870.9841;-680.1009;-0.7808;-2.709565
20200505;4;20.0000;LowOrHighOfLast2Candles;-20;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9694.59328000;9694.59328000;0.00000000;252;95;0.38;574.4214;-305.4067;-0.5317;-1.211931
20200505;5;20.0000;LowOrHighOfLast2Candles;-20;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9128.02677000;9128.02677000;0.00000000;312;106;0.34;1108.4653;-871.9732;-0.7866;-2.794786
20200505;4;20.0000;LowOrHighOfLast2Candles;-10;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9491.90967000;9491.90967000;0.00000000;278;100;0.36;663.8838;-508.0903;-0.7653;-1.827663
20200505;5;20.0000;LowOrHighOfLast2Candles;-10;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9101.80892000;9101.80892000;0.00000000;346;117;0.34;1058.1270;-898.1911;-0.8488;-2.595928
20200505;4;20.0000;LowOrHighOfLast2Candles;0;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;8893.40513000;8893.40513000;0.00000000;286;90;0.31;1297.5025;-1106.5949;-0.8529;-3.869213
20200505;5;20.0000;LowOrHighOfLast2Candles;0;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;8712.21229000;8712.21229000;0.00000000;362;115;0.32;1384.3597;-1287.7877;-0.9302;-3.557425
20200505;4;20.0000;LowOrHighOfLast2Candles;10;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9030.62815000;9030.62815000;0.00000000;244;76;0.31;1094.0616;-969.3719;-0.8860;-3.972835
20200505;5;20.0000;LowOrHighOfLast2Candles;10;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;8871.16517000;8871.16517000;0.00000000;322;102;0.32;1165.6834;-1128.8348;-0.9684;-3.505698
20200505;4;20.0000;LowOrHighOfLast2Candles;20;2.0000;0.000300;5.000000;1.500000;60;0.000000;8;19;1;9131.86474000;9131.86474000;0.00000000;195;57;0.29;912.5953;-868.1353;-0.9513;-4.451976
